recID,Origin,Dest,FlightCount,DepDelay,ArrDelay,AirportNameOrigin,LatOrigin,LongOrigin,AirportNameDest,LatDest,LongDest,origRating,destRating
0,ATL,BOS,5990,69911.0,56384.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,General Edward Lawrence Logan Intl,42.364346999999995,-71.00518100000001,3,1
1,ATL,BWI,5978,63060.0,61157.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Baltimore Washington Intl,39.175360999999995,-76.66833299999999,3,1
2,ATL,CLT,6720,57231.0,66099.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Charlotte Douglas Intl,35.214,-80.943139,3,2
3,ATL,DEN,5726,45421.0,48438.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Denver Intl,39.861655999999996,-104.67317800000001,3,2
4,ATL,DFW,9847,101920.0,105745.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Dallas Fort Worth Intl,32.896828,-97.037997,3,3
5,ATL,DTW,5612,57200.0,50720.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Detroit Metro Wayne Co,42.212444,-83.353389,3,2
6,ATL,EWR,8028,184141.0,161095.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Newark Liberty Intl,40.6925,-74.168667,3,3
7,ATL,IAH,5268,54479.0,49620.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,George Bush Intercontinental,29.984433000000003,-95.341442,3,3
8,ATL,JFK,1915,39223.0,36203.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,John F Kennedy Intl,40.639751000000004,-73.778925,3,3
9,ATL,LAS,4766,48931.0,55509.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Mc Carran Intl,36.080056,-115.15225,3,1
10,ATL,LAX,5406,62350.0,76299.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Los Angeles Intl,33.942536,-118.408075,3,2
11,ATL,LGA,10506,169451.0,171890.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,La Guardia,40.777245,-73.872608,3,2
12,ATL,MCO,9613,99792.0,97279.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Orlando Intl,28.429394,-81.308994,3,2
13,ATL,MSP,5368,50696.0,42011.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Minneapolis St Paul Intl,44.881956,-93.221767,3,1
14,ATL,ORD,7677,127586.0,128699.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Chicago Ohare Intl,41.978603,-87.904842,3,3
15,ATL,PHX,4603,42121.0,41423.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Phoenix Sky Harbor Intl,33.434278000000006,-112.011583,3,1
16,ATL,SEA,2574,21271.0,21815.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Seattle Tacoma Intl,47.449,-122.309306,3,1
17,ATL,SFO,3462,38106.0,44958.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,San Francisco Intl,37.618972,-122.374889,3,3
18,ATL,SLC,2860,28293.0,32903.0,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Salt Lake City Intl,40.788389,-111.977772,3,1
19,BOS,ATL,5982,56275.0,59467.0,General Edward Lawrence Logan Intl,42.364346999999995,-71.00518100000001,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,1,3
20,BOS,BWI,4797,42098.0,39107.0,General Edward Lawrence Logan Intl,42.364346999999995,-71.00518100000001,Baltimore Washington Intl,39.175360999999995,-76.66833299999999,1,1
