Date,UniqueCarrier,Cancelled,Flights,DepDelay
1/1/2004,AA,2300,60893,11.97859813
1/1/2004,AS,1019,13281,10.43687816
1/1/2004,B6,24,6784,7.539497041
1/1/2004,CO,240,24391,3.432321643
1/1/2004,DH,1583,23302,17.17104839
1/1/2004,DL,1265,56745,5.746971882
1/1/2004,EV,594,22858,7.29257995
1/1/2004,FL,160,12558,8.127117277
1/1/2004,HA,28,3879,2.394702675
1/1/2004,HP,314,16278,6.912427963
1/1/2004,MQ,2481,38276,10.53554966
1/1/2004,NW,828,40977,4.4232484
1/1/2004,OH,1345,30892,11.02941077
1/1/2004,OO,1385,36623,10.81105625
1/1/2004,TZ,151,6603,13.03363298
1/1/2004,UA,1017,45809,11.17808984
1/1/2004,US,549,34395,4.803580925
1/1/2004,WN,1690,81107,7.405958422
1/1/2004,XE,638,28336,4.330565384
2/1/2004,AA,1174,57000,7.945813779
2/1/2004,AS,250,12481,6.03965334
2/1/2004,B6,7,6726,2.763655306
2/1/2004,CO,90,23741,2.773286542
2/1/2004,DH,607,22254,10.25084307
2/1/2004,DL,1097,54423,9.80996137
2/1/2004,EV,706,20692,11.7208546
2/1/2004,FL,135,12185,15.19427386
2/1/2004,HA,34,3743,4.377460232
2/1/2004,HP,274,15393,8.517494543
2/1/2004,MQ,886,35762,6.103566923
2/1/2004,NW,581,39750,2.698230744
2/1/2004,OH,934,29292,8.896748713
2/1/2004,OO,818,34441,8.915801683
2/1/2004,TZ,135,6314,2.899174624
2/1/2004,UA,312,42675,4.295092416
2/1/2004,US,380,32019,3.803723253
2/1/2004,WN,944,77190,8.883285681
2/1/2004,XE,117,27795,2.190151022
3/1/2004,AA,952,61062,7.122641823
3/1/2004,AS,220,13670,6.216802974
3/1/2004,B6,3,7365,4.643846781
3/1/2004,CO,145,26727,3.963132947
3/1/2004,DH,577,24351,13.2904854
3/1/2004,DL,391,58796,3.240030819
3/1/2004,EV,260,22133,4.023727884
3/1/2004,FL,79,13284,6.53108671
3/1/2004,HA,16,4052,2.114222002
3/1/2004,HP,228,16816,7.558476007
3/1/2004,MQ,1346,39445,8.397516995
3/1/2004,NW,513,43927,2.789077256
3/1/2004,OH,572,31328,5.125308883
3/1/2004,OO,586,36565,5.511631785
3/1/2004,TZ,63,6723,3.941291291
3/1/2004,UA,321,46512,6.741140049
3/1/2004,US,290,34269,3.746578769
3/1/2004,WN,602,83152,7.754730466
3/1/2004,XE,439,31235,3.372808157
4/1/2004,AA,331,58537,4.363639487
4/1/2004,AS,166,13318,3.559610706
4/1/2004,B6,3,7428,3.040808081
4/1/2004,CO,41,25625,5.308122264
4/1/2004,DH,352,23214,7.776310034
4/1/2004,DL,350,57197,3.263637483
4/1/2004,EV,248,22410,5.170517101
4/1/2004,FL,22,12919,5.745909902
4/1/2004,HA,8,3918,-0.246803069
4/1/2004,HP,294,16095,6.287513449
4/1/2004,MQ,755,38982,5.087555916
4/1/2004,NW,357,41903,1.717734559
4/1/2004,OH,324,30313,4.858548134
4/1/2004,OO,343,35277,5.189185321
4/1/2004,TZ,19,6400,0.425952045
4/1/2004,UA,162,45309,3.038895165
4/1/2004,US,127,33388,3.980487658
4/1/2004,WN,369,80174,8.971906522
4/1/2004,XE,214,30563,2.697288214
5/1/2004,AA,1254,59011,7.729677788
5/1/2004,AS,198,14224,4.478825039
5/1/2004,B6,2,7335,3.675167053
5/1/2004,CO,247,25263,8.620842661
5/1/2004,DH,961,23538,16.53364043
5/1/2004,DL,606,58499,8.227488643
5/1/2004,EV,368,22793,8.911705686
5/1/2004,FL,52,13139,9.979216016
5/1/2004,HA,8,3976,-1.575856855
5/1/2004,HP,212,16487,5.620030722
5/1/2004,MQ,2206,40422,10.76164434
5/1/2004,NW,685,42752,5.824636889
5/1/2004,OH,697,31452,9.0678914
5/1/2004,OO,515,36370,5.880853437
5/1/2004,TZ,17,6407,5.700312989
5/1/2004,UA,652,46630,11.22475967
5/1/2004,US,332,33600,5.569646507
5/1/2004,WN,580,81862,10.67225216
5/1/2004,XE,789,30697,7.578239936
6/1/2004,AA,644,58312,13.52540404
6/1/2004,AS,302,14880,10.46535876
6/1/2004,B6,0,7274,6.276189167
6/1/2004,CO,114,24928,12.4297574
6/1/2004,DH,637,18960,16.0775528
6/1/2004,DL,560,57640,12.87112824
6/1/2004,EV,840,22577,17.41859502
6/1/2004,FL,86,13016,16.35854602
6/1/2004,HA,5,4162,-0.337984123
6/1/2004,HP,262,16560,10.53288747
6/1/2004,MQ,1580,39879,13.21522755
6/1/2004,NW,481,42930,7.647883342
6/1/2004,OH,714,30128,10.83361665
6/1/2004,OO,510,37547,8.43019143
6/1/2004,TZ,18,6486,5.414502165
6/1/2004,UA,549,47663,9.178991383
6/1/2004,US,394,33464,8.950408225
6/1/2004,WN,536,81495,13.05511432
6/1/2004,XE,564,30891,9.926764929
7/1/2004,AA,944,59511,11.80548773
7/1/2004,AS,165,15595,9.109202852
7/1/2004,B6,2,7720,8.526302151
7/1/2004,CO,148,25529,9.959142666
7/1/2004,DH,882,22516,16.831885
7/1/2004,DL,561,58536,9.088106943
7/1/2004,EV,465,23999,11.63916036
7/1/2004,FL,157,14478,10.92528455
7/1/2004,HA,7,4445,-1.789319513
7/1/2004,HP,258,16735,8.551253262
7/1/2004,MQ,1819,41586,11.50878869
7/1/2004,NW,561,44632,7.208005264
7/1/2004,OH,1017,30834,11.38890566
7/1/2004,OO,582,40579,7.551291347
7/1/2004,TZ,58,6623,11.46031988
7/1/2004,UA,605,49860,10.11381586
7/1/2004,US,631,34923,10.28700572
7/1/2004,WN,454,84000,12.50028727
7/1/2004,XE,816,32065,8.571826298
8/1/2004,AA,1233,59954,13.55739855
8/1/2004,AS,210,15584,10.00995187
8/1/2004,B6,50,7799,11.45218738
8/1/2004,CO,159,25521,5.197460768
8/1/2004,DH,775,23278,10.02270808
8/1/2004,DL,785,58784,7.462507974
8/1/2004,EV,443,24339,7.842944426
8/1/2004,FL,201,14700,7.975584523
8/1/2004,HA,19,4469,-1.246292135
8/1/2004,HP,198,16456,9.007688523
8/1/2004,MQ,1465,42016,9.0453503
8/1/2004,NW,490,44892,4.060312599
8/1/2004,OH,752,31116,8.360887894
8/1/2004,OO,517,42074,3.75883726
8/1/2004,TZ,60,6742,4.593385214
8/1/2004,UA,666,50837,7.445018038
8/1/2004,US,874,36109,10.19171279
8/1/2004,WN,806,85627,11.40914396
8/1/2004,XE,460,32810,4.740958269
9/1/2004,AA,1985,54263,2.731741842
9/1/2004,AS,235,13856,6.708391454
9/1/2004,B6,415,7239,2.192848769
9/1/2004,CO,551,23161,2.528350287
